,favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
130,61701,Twitter for Android,"both countries will, perhaps, work together to solve some of the many great and pressing problems and issues of the WORLD!",,False,Sat Jan 07 15:21:42 +0000 2017,15166,817753083707015168
131,68530,Twitter for Android,"have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and....",,False,Sat Jan 07 15:10:46 +0000 2017,17175,817750330196819968
132,87901,Twitter for Android,"Having a good relationship with Russia is a good thing, not a bad thing. Only ""stupid"" people, or fools, would think that it is bad! We.....",,False,Sat Jan 07 15:02:20 +0000 2017,26945,817748207694467072
133,75707,Twitter for Android,Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,,False,Sat Jan 07 12:03:31 +0000 2017,18578,817703208567078913
134,62166,Twitter for Android,Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!,,False,Sat Jan 07 11:56:29 +0000 2017,17365,817701436096126977
135,62564,Twitter for Android,Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!,,False,Sat Jan 07 03:53:38 +0000 2017,15758,817579925771341825
136,44427,Twitter for iPhone,"Happy Birthday @EricTrump!
https://t.co/bJaEY7qFSn",,False,Sat Jan 07 00:07:09 +0000 2017,7375,817522928862502913
137,93606,Twitter Web Client,Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,,False,Fri Jan 06 19:30:09 +0000 2017,22351,817453219613917185
138,13822,Twitter for iPhone,I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,,False,Fri Jan 06 16:51:37 +0000 2017,4433,817413321058029568
139,16120,Twitter for iPhone,"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp; Steven Newhouse, a friend. Will go this AM.",,False,Fri Jan 06 14:18:51 +0000 2017,3491,817374875962769408
140,7592,Twitter for Android,"being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares, he supported Kasich &amp; Hillary",,False,Fri Jan 06 12:42:53 +0000 2017,2006,817350726800306177
141,7524,Twitter for Android,"Wow, the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine, DJT. So much for....",,False,Fri Jan 06 12:34:37 +0000 2017,2151,817348644647108609
142,16142,Twitter for Android,"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",,False,Fri Jan 06 12:05:01 +0000 2017,3841,817341196251070464
143,12759,Twitter for Android,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,,False,Fri Jan 06 11:45:47 +0000 2017,2920,817336355193753600
144,14907,Twitter for Android,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,,False,Fri Jan 06 11:39:35 +0000 2017,3546,817334794958807042
145,17611,Twitter for Android,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",,False,Fri Jan 06 11:19:49 +0000 2017,5954,817329823374831617
146,14583,Twitter for Android,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,,False,Fri Jan 06 00:40:03 +0000 2017,4670,817168818539757568
147,14603,Twitter for Android,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,,False,Fri Jan 06 00:30:15 +0000 2017,5164,817166353266262016
148,17630,Twitter for Android,"How did NBC get ""an exclusive look into the top secret report he (Obama) was presented?"" Who gave them this report and why? Politics!",,False,Fri Jan 06 00:24:34 +0000 2017,5919,817164923843280896
149,5054,Twitter for Android,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",,False,Thu Jan 05 18:14:30 +0000 2017,1661,817071792711942145
